step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
700,PAYMENT,5522.56,C1198976909,976.28,0.0,M703857417,37.68,5560.24,0,0
190,CASH_IN,28.93,C9560125864,13278.63,13249.7,C3995505587,34.58,63.51,0,0
687,CASH_OUT,43.34,C8224505999,153.92,110.58,M878455275,,3501.88,0,0
563,CASH_OUT,217.1,C3473630801,679.98,462.88,M368699960,19.54,236.64,0,0
567,PAYMENT,844.22,C2843021559,62615.7,61771.48,M212331604,253.79,1098.01,0,0
244,PAYMENT,166.45,C3276631482,406.99,240.54,M273384533,142.03,308.48,0,0
505,CASH_OUT,141.43,C8962974186,87739.22,87597.79,M410285014,212.9,354.33,0,0
131,PAYMENT,4219.59,C5418656089,374.02,0.0,M982207605,2617.9,6837.49,0,0
485,PAYMENT,1036.81,C3276725591,10516.24,9479.43,M181939467,293.17,1329.98,0,0
647,CASH_IN,56.29,C8887986143,1328.94,1272.65,C3713484065,282.02,338.31,0,0
21,PAYMENT,145.56,C9708503042,7643.31,7497.75,M767186648,41.25,186.81,0,0
167,CASH_OUT,1134.14,C9811222296,166308.97,165174.83,M428935873,37.29,1171.43,0,0
274,PAYMENT,32.39,C3555521729,3131.22,3098.83,M496071336,12.13,44.52,0,0
388,CASH_IN,1120.43,C7941928160,25659.88,24539.45,C2306997429,165.96,1286.39,0,0
601,CASH_OUT,202.84,C7707888519,117.15,0.0,M419692564,16522.69,16522.69,1,0
316,CASH_IN,833.49,C1960249079,106.85,0.0,C7430942159,632.38,1465.87,0,0
14,PAYMENT,512.72,C7709779421,18.52,0.0,M506096333,465.52,978.24,0,0
242,CASH_IN,43.18,C1352677946,78.33,35.15,C4771563309,8.24,51.42,0,0
346,CASH_IN,112.93,C9298133598,48686.97,48574.04,C7585056617,6546.58,6659.51,0,0
565,CASH_OUT,7293.96,C8302452567,2511.55,0.0,M498262230,22115.44,29409.4,0,0
340,CASH_IN,46288.26,C5219965940,562.0,0.0,C2120446807,49.81,46338.07,0,0
92,CASH_OUT,12.25,C1059344318,1827.1,1814.85,M434368059,35.14,47.39,0,0
367,CASH_IN,3249.47,C9922408873,6005.86,2756.39,C2219127383,14708.21,17957.68,0,0
455,PAYMENT,728.68,C1945742075,7679.16,6950.48,M216372254,1062.32,1791.0,0,0
428,PAYMENT,25966.6,C1413458806,1893.99,0.0,M869871763,29647.98,55614.58,0,0
509,CASH_IN,132.02,C3090587254,34779.85,34647.83,C8141905087,7678.66,7810.68,0,0
35,CASH_IN,2432.24,C1381771473,96.84,0.0,C1525283199,3.3,2435.54,0,0
206,CASH_OUT,220.24,C7514909893,456.38,236.14,M600900075,21528.12,21748.36,0,0
81,PAYMENT,5233.35,C1558642972,20448.34,15214.99,M498236682,559.02,5792.37,0,0
562,PAYMENT,41051.22,C1426689756,11978.79,0.0,M979244943,427.25,41478.47,0,0
388,PAYMENT,617.78,C6626491117,2771.3,2153.52,M173991587,437.79,1055.57,0,0
2,CASH_IN,41.35,C4755594491,282.23,240.88,C4426561370,331.82,373.17,0,0
390,PAYMENT,6820.89,C5119517037,7855.1,1034.21,M679175323,9.02,6829.91,0,0
566,CASH_OUT,1250.08,C2976523594,112.97,0.0,M797740895,12872.58,14122.66,0,0
106,CASH_IN,859.25,C6636892981,21058.07,20198.82,C4407621319,,960.34,0,0
477,CASH_OUT,9570.85,C9629033419,49232.4,39661.55,M922856631,185.12,9755.97,0,0
703,PAYMENT,41.46,C4522339678,259.75,218.29,M689204144,1709.48,1750.94,0,0
402,CASH_OUT,96.32,C1726753749,708441.86,708345.54,M962894900,32021.35,32117.67,0,0
730,CASH_OUT,1324.16,C8378377706,90.62,0.0,M327961194,327.28,1651.44,0,0
556,CASH_OUT,92.12,C1476699109,683.64,591.52,M418376259,664.78,756.9,0,0
162,PAYMENT,214.43,C1291619785,642.84,428.41,M695948979,13403.0,13617.43,0,0
202,CASH_IN,5164.35,C8515630381,845.95,0.0,C3369219787,1661.65,6826.0,0,0
270,CASH_OUT,959.02,C7861297934,38641.2,37682.18,M874886047,1303.36,2262.38,0,0
271,CASH_OUT,38.18,C8368131222,3275.83,3237.65,M862390714,0.29,38.47,0,0
456,CASH_IN,912.39,C6994382572,137.21,0.0,C9153485545,191.66,1104.05,0,0
462,CASH_OUT,4808.53,C9155284860,1440.27,0.0,M421176582,614.83,5423.36,0,0
727,CASH_IN,568.54,C5044934604,5756.2,5187.66,C8286952146,599.21,1167.75,0,0
252,CASH_OUT,2306.76,C1840590616,4032.16,1725.4,M150330257,3984.95,6291.71,0,0
702,CASH_IN,143.45,C9208708139,23282.45,23139.0,C8669368662,18.95,162.4,0,0
296,CASH_OUT,678.41,C4060939483,1371.24,692.83,M995048657,31.25,709.66,0,0
725,CASH_IN,17.23,C4814523957,8094.91,8077.68,C2146657717,4585.22,4602.45,0,0
720,CASH_IN,1421.5,C8520924748,768.26,0.0,C1556634049,6146.45,7567.95,0,0
338,PAYMENT,829.03,C4686954819,217.7,0.0,M571643713,30.41,859.44,0,0
53,CASH_OUT,30.55,C8733545195,63.22,32.67,M342491025,790.66,821.21,0,0
217,CASH_IN,8448.62,C6615698208,55062.02,46613.4,C9442175720,219.2,8667.82,0,0
188,PAYMENT,1264.29,C8085584774,25.23,0.0,M306811593,80.59,1344.88,0,0
380,CASH_OUT,100.95,C2389277939,2069.61,1968.66,M312435044,20.11,121.06,0,0
493,CASH_OUT,1498.55,C1182883464,3053.7,1555.15,M719716511,42.86,1541.41,0,0
41,CASH_IN,56.32,C5243841773,94.47,38.15,C2421743255,51.73,108.05,0,0
157,CASH_OUT,74.27,C6272245311,10429.32,10355.05,M692442324,19520.97,19595.24,0,0
15,PAYMENT,56.91,C7002390685,37.48,0.0,M446779116,1391.74,1448.65,0,0
65,PAYMENT,53.72,C9381049874,257.44,203.72,M858339366,820.88,874.6,0,0
521,CASH_IN,967.99,C3081631744,12230.96,11262.97,C9084263678,24.53,992.52,0,0
344,TRANSFER,487.38,C4412779767,42.44,0.0,C7707342118,11068.7,11556.08,0,0
129,DEBIT,1801.62,C6973919693,8454.46,6652.84,M669493317,14874.8,16676.42,0,0
648,CASH_OUT,1.43,C9786327359,17844.64,17843.21,M258635304,744.85,746.28,0,0
472,CASH_IN,184.37,C7175575410,16039.5,15855.13,C5835513017,562.25,746.62,0,0
63,CASH_OUT,189.65,C6536786113,2795.99,2606.34,M651563125,565.98,755.63,0,0
139,PAYMENT,448.21,C9758212856,134.78,0.0,M431942528,2568.32,3016.53,0,0
499,PAYMENT,425.62,C6177680892,92.24,0.0,M766064535,10.46,436.08,0,0
593,CASH_OUT,636.62,C6105814463,311.55,0.0,M791759278,28.17,664.79,0,0
392,TRANSFER,481.85,C1709776766,0.51,0.0,C2642867262,54.59,536.44,0,0
675,CASH_OUT,161.16,C9774747748,1162.16,1001.0,M279168145,124.62,285.78,0,0
419,PAYMENT,181.44,C3012578153,822.37,640.93,M932372115,865.52,1046.96,0,0
289,CASH_IN,362.99,C4336043174,1325.72,962.73,C6672190065,5137.32,5500.31,0,0
379,CASH_IN,1106.86,C4999388986,601.52,0.0,C9566191204,4131.87,5238.73,0,0
490,CASH_OUT,478.28,C7035462417,1705.71,1227.43,M291353178,7.93,486.21,0,0
231,PAYMENT,83.9,C1540690999,1336.98,1253.08,M470216358,45611.11,45695.01,0,0
41,CASH_IN,75.47,C5455784433,28.5,0.0,C2895493645,101413.6,101489.07,0,0
28,CASH_OUT,1118.55,C1279288732,2208.1,1089.55,M130000226,24491.33,25609.88,0,0
135,PAYMENT,1834.97,C2960005794,1040.31,0.0,M824291839,71.94,,0,0
201,CASH_OUT,3435.88,C8620350191,14.66,0.0,M515785695,117.77,3553.65,0,0
33,PAYMENT,151.13,C8469803207,10270.84,10119.71,M145748652,7.86,158.99,0,0
48,CASH_IN,9.44,C7030099102,520.23,510.79,C3580534816,825.57,835.01,0,0
503,PAYMENT,865.48,C2053467689,5372.65,4507.17,M557060108,796.62,1662.1,0,0
407,PAYMENT,96.42,C9574925483,981.69,885.27,M635191879,162.4,258.82,0,0
574,PAYMENT,328.08,C5197371920,12.8,0.0,M501442405,41.11,369.19,0,0
728,PAYMENT,542.65,C9922597621,2051.44,1508.79,M792568493,703.43,1246.08,0,0
99,CASH_OUT,1220.85,C8248489156,3793.4,2572.55,M213053896,264.31,1485.16,0,0
684,CASH_OUT,2407.63,C3285430365,20462.76,18055.13,M624444601,1068.16,3475.79,0,0
726,PAYMENT,4185.03,C5250703772,10909.15,6724.12,M382433643,20015.3,24200.33,0,0
547,PAYMENT,5645.63,C8529001351,21933.97,16288.34,M478343835,2149.72,7795.35,0,0
739,PAYMENT,496.75,C7430548122,6910.97,6414.22,M924324224,739.75,1236.5,0,0
613,CASH_OUT,13.77,C5901318534,320.82,307.05,M433494414,661.84,675.61,0,0
462,PAYMENT,119.21,C5786503709,340.33,221.12,M503983238,30.12,149.33,0,0
643,CASH_OUT,6742.95,C4887642885,12995.32,6252.37,M519073483,354.41,7097.36,0,0
5,TRANSFER,543.22,C2306684261,415.3,0.0,C3634027124,878.48,1421.7,0,0
218,PAYMENT,31468.72,C8333889270,4124.05,0.0,M887024951,4047.49,35516.21,0,0
503,CASH_OUT,189.05,C3255783702,78696.22,78507.17,M774536351,2156.81,2345.86,0,0
398,CASH_OUT,41180.74,C1461590842,233.97,0.0,M694335465,211.38,41392.12,0,0
393,TRANSFER,402.21,C2625772575,6773.37,6371.16,C4080521588,12523.96,12926.17,0,0
207,CASH_OUT,174.25,C2454033328,147.29,0.0,M723245336,3.09,177.34,0,0
15,CASH_IN,97.19,C8953143019,4750.51,4653.32,C2625643100,1671.2,1768.39,0,0
554,CASH_OUT,1509.76,C1121732242,61959.28,60449.52,M595302813,37.05,1546.81,0,0
461,TRANSFER,23.9,C4360975118,31160.5,31136.6,C9611483142,18575.82,18599.72,0,0
691,CASH_IN,134.36,C2120818740,418.74,284.38,C1627370630,4803.28,4937.64,0,0
575,PAYMENT,363.16,C9961056442,56068.68,55705.52,M816224098,10.21,373.37,0,0
743,CASH_OUT,4.41,C6444005474,625.23,620.82,M257909701,32.78,37.19,0,0
241,CASH_OUT,332.0,C9819031477,334766.15,334434.15,M361285397,5.3,337.3,0,0
564,PAYMENT,12594.22,C2503729803,1189.22,0.0,M679830586,2684.52,15278.74,0,0
96,PAYMENT,957.1,C8074550226,5750.69,4793.59,M837864077,1250.26,2207.36,0,0
734,CASH_OUT,108.19,C1388674359,5329.92,5221.73,M854744852,3901.43,4009.62,0,0
485,CASH_OUT,155.13,C5458470146,71.18,0.0,M192845585,0.51,155.64,0,0
407,PAYMENT,791.79,C4332427871,34223.42,33431.63,M911684911,51.92,843.71,0,0
231,PAYMENT,145.26,C3296247381,1898.58,1753.32,M389554524,2531.7,2676.96,0,0
655,CASH_OUT,1029.8,C3923331427,273.21,0.0,M313532697,9801.37,10831.17,0,0
171,CASH_OUT,137.28,C8266288332,167.63,30.35,M914558246,168.92,306.2,0,0
541,DEBIT,52.01,C2749564634,243.05,191.04,M633622948,827.67,879.68,0,0
36,PAYMENT,4279.5,C6041186001,904.71,0.0,M856724159,2853.6,7133.1,0,0
525,CASH_IN,1665.83,C3060585669,76.1,0.0,C5911268332,19224.16,20889.99,0,0
160,PAYMENT,9.24,C6998044568,142.46,133.22,M863138493,8.26,17.5,0,0
699,CASH_OUT,205.67,C1465771700,14.58,0.0,M115973859,237.24,442.91,0,0
243,CASH_OUT,3248.27,C9805230709,145.01,0.0,M240112539,8.97,3257.24,0,0
86,CASH_OUT,289.37,C1374251743,33221.09,32931.72,M683538570,1273.51,1562.88,0,0
578,CASH_IN,126.33,C3912385846,22096.29,21969.96,C3094707467,10.82,137.15,0,0
682,PAYMENT,243.45,C1673972516,2154.15,1910.7,M554261275,403.0,646.45,0,0
557,CASH_OUT,503.63,C2884149763,212306.41,211802.78,M700167454,539.98,1043.61,0,0
574,TRANSFER,281.67,C4739414187,22858.95,22577.28,C3174847927,53.3,334.97,0,0
646,CASH_OUT,341.94,C9116031145,3251.15,2909.21,M674675440,4935.87,5277.81,0,0
28,DEBIT,298.9,C7179169936,4267.4,3968.5,M265405951,725.26,1024.16,0,0
620,DEBIT,57.56,C6615296119,1369.2,1311.64,M610045367,453.62,511.18,0,0
556,CASH_OUT,51.92,C7090904969,47.07,0.0,M955101852,71.36,123.28,0,0
340,CASH_OUT,45.61,C8597414829,563.25,517.64,M941761668,246.36,291.97,0,0
331,PAYMENT,484.44,C2042133585,1.67,0.0,M729794422,41.63,526.07,0,0
640,PAYMENT,1294.05,C6101226807,71.1,0.0,M194240546,184.31,1478.36,0,0
506,PAYMENT,61.4,C1870412812,35241.17,35179.77,M450414716,415.5,476.9,0,0
348,TRANSFER,20.08,C1704154953,1330.83,1310.75,C2702600050,263644.07,263664.15,0,0
473,CASH_IN,70.62,C2484955996,76.3,5.68,C1564760136,333.26,403.88,0,0
231,CASH_OUT,6666.21,C7381752855,4095.25,0.0,M720450262,68.27,6734.48,0,0
190,CASH_OUT,215.68,C3388875802,4968.7,4753.02,M674985082,16.19,231.87,0,0
225,PAYMENT,262.91,C4685447624,51800.87,51537.96,M670318773,1994.88,2257.79,0,0
385,CASH_OUT,81.82,C5779799691,93498.63,93416.81,M818521588,29.53,111.35,0,0
377,CASH_IN,1265.74,C2605354262,7731.51,6465.77,C3568929644,1044.6,2310.34,0,0
283,CASH_OUT,315.24,C6978172735,24.86,0.0,M760706906,12807.76,13123.0,0,0
633,CASH_OUT,94.32,C8754569060,328043.54,327949.22,M296867406,2690.92,2785.24,0,0
628,CASH_OUT,51.33,C4144743479,32320.68,32269.35,M240271191,38.87,90.2,0,0
259,CASH_IN,858.94,C3554835181,9163.6,8304.66,C5202828980,731.04,1589.98,0,0
359,CASH_OUT,684.01,C3894569938,1051.86,367.85,M507083813,10185.77,,0,0
710,CASH_IN,33.9,C4079196861,22.77,0.0,C4388254472,938.49,972.39,0,0
456,PAYMENT,4697.4,C4914281628,270.41,0.0,M715390040,241.61,4939.01,0,0
411,CASH_IN,111.75,C8022885501,965.57,853.82,C3083727348,3773.26,3885.01,0,0
649,PAYMENT,4.71,C2210757301,402.52,397.81,M292294917,1422.48,1427.19,0,0
318,CASH_OUT,8580.68,C1515736735,16875.87,8295.19,M490123046,565.52,9146.2,0,0
677,CASH_IN,328.62,C7929159137,905.69,577.07,C4216843857,,2531.5,0,0
225,CASH_OUT,961.93,C7645111197,157.33,0.0,M621530211,834.05,1795.98,0,0
234,PAYMENT,11436.58,C6275369260,3834.58,0.0,M471314944,127.68,11564.26,0,0
684,CASH_OUT,54.31,C2784101892,137.96,83.65,M964096396,659.04,713.35,0,0
664,CASH_IN,1052.23,C9373009706,18.55,0.0,C5748848659,211.33,1263.56,0,0
374,TRANSFER,4232.96,C6833563889,3918.98,0.0,C9532876129,7190.13,11423.09,0,0
672,PAYMENT,62.24,C8880359860,914.85,852.61,M316610897,204.38,266.62,0,0
608,PAYMENT,7489.92,C5927495910,1623.03,0.0,M864437117,205.99,7695.91,0,0
472,CASH_IN,24.09,C5134838994,34220.8,34196.71,C5425192911,3147.77,3171.86,0,0
233,CASH_OUT,333.38,C5345241808,2053.83,1720.45,M965266637,225.22,558.6,0,0
692,TRANSFER,46.96,C4003087516,4550.47,4503.51,C4097793847,512.4,559.36,0,0
113,CASH_OUT,1622.44,C9828858731,1144.7,0.0,M710029472,171.87,1794.31,0,0
497,TRANSFER,58.51,C1423573902,8307.75,8249.24,C4545529081,57.12,115.63,0,0
442,CASH_IN,117.38,C2979323407,5.31,0.0,C6844352349,191.59,308.97,0,0
564,CASH_IN,69.55,C5435115408,158.24,88.69,C1173924872,86.97,156.52,0,0
268,PAYMENT,36.46,C1961327309,417.63,381.17,M913912118,385436.07,385472.53,0,0
510,PAYMENT,87.01,C4149498385,330.77,243.76,M103066720,202.06,289.07,0,0
386,PAYMENT,368.46,C1163204746,151.56,0.0,M393404409,122.68,491.14,0,0
387,CASH_OUT,330.16,C2267882704,893.4,563.24,M722873105,3523.76,3853.92,0,0
113,PAYMENT,261.66,C3460525065,781.18,519.52,M125914148,3090.34,3352.0,0,0
613,PAYMENT,106.37,C1391288064,892.27,785.9,M581717438,41.84,148.21,0,0
625,CASH_IN,197.93,C9584743578,1810.12,1612.19,C3288680247,716.32,914.25,0,0
81,PAYMENT,16.93,C5031552729,3806.54,3789.61,M196876992,208.33,225.26,0,0
699,CASH_OUT,99.69,C9130929564,157.61,57.92,M548891077,822.99,922.68,0,0
113,CASH_OUT,258.91,C4844770785,297.12,38.21,M963507664,207.77,466.68,0,0
2,PAYMENT,726.85,C8625224195,11012.9,10286.05,M980550279,2.32,729.17,0,0
642,CASH_OUT,569.37,C4948404335,104.08,0.0,M671931268,1594.05,2163.42,0,0
220,CASH_OUT,34.61,C4859112617,145.5,110.89,M986232526,1245.3,1279.91,0,0
566,CASH_IN,949.16,C8330794570,158.79,0.0,C1001878578,18.46,967.62,0,0
736,PAYMENT,515.17,C3307936460,665.34,150.17,M458616502,4859.51,5374.68,0,0
225,PAYMENT,7189.19,C3216872461,13297.62,6108.43,M126465599,4864.96,12054.15,0,0
385,CASH_OUT,20.31,C2379689803,4063.28,4042.97,M115777694,8115.38,8135.69,0,0
403,CASH_IN,307.06,C7617072391,123.68,0.0,C6729049204,8.4,315.46,0,0
638,CASH_OUT,3173.57,C7253278596,102036.21,98862.64,M666744730,3330.17,6503.74,0,0
130,CASH_IN,222.99,C7831502469,192.65,0.0,C1066666655,48.78,271.77,0,0
53,CASH_OUT,64.92,C4465389604,19.05,0.0,M994496459,18.99,83.91,0,0
684,CASH_IN,78.88,C3533976696,104869.66,104790.78,C7637126307,111.6,190.48,0,0
730,PAYMENT,1938.33,C8542266658,135.35,0.0,M183787851,227.91,2166.24,0,0
672,PAYMENT,18.24,C1519960310,831.09,812.85,M812433291,111.88,130.12,0,0
710,PAYMENT,207.17,C6066519931,784.49,577.32,M992243258,7826.57,8033.74,0,0
416,PAYMENT,69.96,C4634681007,4695.62,4625.66,M907086291,30.29,100.25,0,0
247,CASH_OUT,81.3,C8568417114,11.11,0.0,M548917161,4587.61,4668.91,0,0
439,CASH_IN,975.75,C9616597580,517.12,0.0,C3896009811,137.77,1113.52,0,0
203,CASH_OUT,182.99,C2319975862,438.37,255.38,M939135975,510.58,693.57,0,0
184,CASH_IN,642.95,C8111045462,37581.96,36939.01,C1538692791,,844.39,0,0
123,CASH_IN,33.65,C7003185156,281.77,248.12,C9939910892,53.53,87.18,0,0
401,CASH_OUT,2121.33,C9499636844,491.84,0.0,M434489768,50.54,2171.87,0,0
294,CASH_IN,617.3,C5180125952,7334.9,6717.6,C5062241153,15.23,632.53,0,0
280,PAYMENT,4798.3,C6204178216,3938.28,0.0,M110125596,12.18,4810.48,0,0
610,CASH_OUT,178.77,C9075383880,179.45,0.68,M323341370,261.83,440.6,0,0
198,TRANSFER,991.41,C3705377694,3200.35,2208.94,C4488615253,12491.21,13482.62,0,0
511,PAYMENT,1932.93,C7258691386,173.57,0.0,M121065768,24.65,1957.58,0,0
144,PAYMENT,953.17,C9192197133,8168.84,7215.67,M292342266,626.0,1579.17,0,0
609,PAYMENT,12035.05,C6725113691,734.68,0.0,M604365194,278.24,12313.29,0,0
201,CASH_OUT,14.49,C5752054649,47.39,32.9,M243124727,10200.75,10215.24,0,0
124,TRANSFER,572.09,C3085303181,5.16,0.0,C8390722492,1324.73,1896.82,0,0
187,CASH_OUT,179.16,C4807821330,428.36,249.2,M532041564,79.44,258.6,0,0
326,CASH_OUT,155.19,C5871156185,154.59,0.0,M868896531,20.61,175.8,0,0
464,PAYMENT,7998.98,C3545657005,602.42,0.0,M899745268,3.26,8002.24,0,0
349,PAYMENT,116.7,C3682933207,969.6,852.9,M848206948,60.02,176.72,0,0
660,PAYMENT,2220.87,C4580040324,9.17,0.0,M263835149,89699.48,91920.35,0,0
403,CASH_OUT,49.0,C3934346794,176.85,127.85,M449172215,92.88,141.88,0,0
346,CASH_OUT,3099.6,C4604708841,793.6,0.0,M338605355,3.61,3103.21,0,0
511,CASH_OUT,385.71,C7324541600,1408.27,1022.56,M916216593,6.54,392.25,0,0
147,TRANSFER,229.17,C3435436302,8067.27,7838.1,C4224644816,21143.95,21373.12,0,0
148,CASH_OUT,18.66,C9141036430,12411.3,12392.64,M204607312,132.12,150.78,0,0
711,CASH_IN,230.13,C3989071038,603.88,373.75,C9117454588,1105.07,1335.2,0,0
489,CASH_IN,102.16,C8643047877,757.72,655.56,C8810184468,879.99,982.15,0,0
640,CASH_IN,13297.42,C5392490177,329.74,0.0,C3673244853,83.55,13380.97,0,0
551,CASH_IN,447.35,C4640100725,5649.84,5202.49,C8773858601,123.77,571.12,0,0
338,CASH_OUT,122.36,C4385719827,419.36,297.0,M298186249,38.61,160.97,0,0
641,CASH_OUT,112.43,C8862994123,97.8,0.0,M647617131,4.19,116.62,0,0
473,PAYMENT,26.58,C7932644262,17.18,0.0,M336653156,5223.43,5250.01,0,0
151,CASH_OUT,8472.31,C8731148964,102.64,0.0,M361235500,2993.74,11466.05,0,0
415,CASH_IN,4976.88,C6754179500,564.15,0.0,C3589374760,384.61,5361.49,0,0
298,PAYMENT,352.89,C6566914872,12694.12,12341.23,M196544323,487.83,840.72,0,0
611,CASH_IN,31529.88,C1616710737,1228.79,0.0,C1225966828,4753.96,36283.84,0,0
263,CASH_OUT,393.0,C3437468603,1460.03,1067.03,M699017982,1.33,394.33,0,0
144,TRANSFER,3615.07,C3683994723,1105.92,0.0,C7120086552,1472.5,5087.57,0,0
346,CASH_OUT,1251.78,C2858464031,26890.88,25639.1,M212512064,5308.69,6560.47,0,0
624,PAYMENT,127.87,C1389194901,3903.61,3775.74,M945867747,45561.44,45689.31,0,0
572,PAYMENT,580.98,C2573379979,1057.03,476.05,M389751293,4099.76,4680.74,0,0
2,CASH_IN,850.18,C2246889513,245.51,0.0,C5792757154,21770.36,22620.54,0,0
304,PAYMENT,29.71,C2492379596,46.94,17.23,M837675371,233.39,263.1,0,0
254,TRANSFER,717.63,C8617681979,68263.66,67546.03,C6782593531,421.1,1138.73,0,0
652,CASH_IN,3951.65,C7486392717,8176.71,4225.06,C1237240865,53.62,4005.27,0,0
453,CASH_IN,101.18,C5074035264,676.21,575.03,C1785512883,88.14,189.32,0,0
37,CASH_OUT,264.85,C6384648153,97235.68,96970.83,M363814861,4278.72,4543.57,0,0
160,CASH_IN,43.85,C2085404743,1075.92,1032.07,C9377661093,1195.4,1239.25,0,0
9,CASH_IN,153.61,C3351662561,142.33,0.0,C1584373428,1508.56,1662.17,0,0
233,CASH_OUT,179.4,C9780135066,23252.18,23072.78,M465629879,8.69,188.09,0,0
99,CASH_OUT,9474.18,C8877560030,44.59,0.0,M680185104,1406.67,10880.85,0,0
659,CASH_OUT,213.92,C3430948801,402.52,188.6,M191396331,12405.14,12619.06,0,0
208,CASH_OUT,139.68,C7574035368,54.51,0.0,M930881003,1238.49,1378.17,0,0
131,PAYMENT,334.32,C8934608685,148.65,0.0,M366023566,36.8,371.12,0,0
404,TRANSFER,13.26,C9132104343,1807.27,1794.01,C1899993536,369.44,382.7,0,0
152,PAYMENT,3.61,C8084265103,2547.78,2544.17,M487029933,14151.19,14154.8,0,0
54,PAYMENT,25.43,C7188045798,69.72,44.29,M112705293,883.9,909.33,0,0
120,TRANSFER,771.4,C2552279404,101002.49,100231.09,C9543179500,9680.67,10452.07,0,0
673,CASH_OUT,401.27,C3731167486,5.91,0.0,M859321252,49074.88,49476.15,0,0
628,CASH_IN,2294.36,C1593800594,1516.15,0.0,C7890937184,256.38,2550.74,0,0
587,PAYMENT,19.28,C3957001239,1616.27,1596.99,M620264081,28.55,47.83,0,0
625,PAYMENT,268.24,C5192901732,2119.01,1850.77,M477918574,117.72,385.96,0,0
420,CASH_OUT,16.72,C8552877724,9880.54,9863.82,M773391865,50925.49,50942.21,0,0
422,PAYMENT,688.59,C6981750035,0.54,0.0,M390612367,3321.44,4010.03,0,0
104,CASH_OUT,25.64,C3548130027,158.36,132.72,M144805976,756.59,782.23,0,0
