step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,hour_of_day,day_of_week,is_weekend,balance_diff_orig,balance_diff_dest,zero_balance_after,amount_to_balance,balance_mismatch,dest_type,is_extreme_amount,amount_capped,risk_score,risk_tier,type_encoded
664,CASH_IN,11.94,C3544851556,48.38,36.44,C7657784520,712.65,724.59,0,0,16,6,1,11.94,11.94,0,0.241798,0,Customer,0,11.94,6.04,Low,2
131,CASH_OUT,587.29,C6894572974,31.47,0.0,M406151955,1292.59,1879.88,0,0,11,5,1,31.47,587.29,1,18.087157,1,Merchant,0,587.29,75.0,High,0
662,PAYMENT,354.94,C8173315070,1030.34,675.4,M399672908,116854.58,117209.52,0,0,14,6,1,354.94,354.94,0,0.344154,0,Merchant,0,354.94,8.6,Low,1
309,CASH_IN,4176.25,C8365746461,1359.11,0.0,C7084896730,32861.93,37038.18,0,0,21,5,1,1359.11,4176.25,1,3.070524,1,Customer,0,4176.25,60.0,High,2
344,PAYMENT,99.28,C7785248232,1963.64,1864.36,M848811235,2554.56,2653.84,0,0,8,0,0,99.28,99.28,0,0.050533,0,Merchant,0,99.28,1.26,Low,1
492,PAYMENT,603.18,C9393138007,483.46,0.0,M896076155,759.53,1362.71,0,0,12,6,1,483.46,603.18,1,1.245056,1,Merchant,0,603.18,60.0,High,1
414,CASH_OUT,18914.44,C4932650539,32296.47,13382.03,M763559225,2135.9,21050.34,0,0,6,3,0,18914.44,18914.44,0,0.585632,0,Merchant,0,18914.44,29.64,Medium,0
386,PAYMENT,383.2,C3345624313,25.88,0.0,M992696323,726.25,1109.45,0,0,2,2,0,25.88,383.2,1,14.255952,1,Merchant,0,383.2,60.0,High,1
192,PAYMENT,28.2,C1883357002,1536.81,1508.61,M164542791,982.18,1010.38,0,0,0,1,0,28.2,28.2,0,0.018338,0,Merchant,0,28.2,0.46,Low,1
277,CASH_OUT,31190.85,C4913309491,7307.2,0.0,M119980735,79.39,31270.24,0,0,13,4,0,7307.2,31190.85,1,4.267925,1,Merchant,0,31190.85,75.0,High,0
161,TRANSFER,96.44,C4218676562,34922.25,34825.81,C2133904596,340.51,436.95,0,0,17,6,1,96.44,96.44,0,0.002761,0,Customer,0,96.44,15.07,Low,3
460,TRANSFER,50.42,C9756458386,30816.92,30766.5,C4619706337,2831.39,2881.81,0,0,4,5,1,50.42,50.42,0,0.001636,0,Customer,0,50.42,15.04,Low,3
314,CASH_IN,54.56,C3598217373,70.78,16.22,C5667715100,463.0,517.56,0,0,2,6,1,54.56,54.56,0,0.7601,0,Customer,0,54.56,19.0,Low,2
22,PAYMENT,1729.05,C5580468222,2711.74,982.69,M989151803,1374.92,3103.97,0,0,22,0,0,1729.05,1729.05,0,0.637381,0,Merchant,0,1729.05,15.93,Low,1
253,CASH_IN,5407.6,C1214022629,642.19,0.0,C4757641784,111.22,5518.82,0,0,13,3,0,642.19,5407.6,1,8.407469,1,Customer,0,5407.6,60.0,High,2
561,CASH_IN,13640.6,C6004228180,1045.9,0.0,C7104553336,358.93,13999.53,0,0,9,2,0,1045.9,13640.6,1,13.029516,1,Customer,0,13640.6,60.0,High,2
475,CASH_IN,415.98,C3058172641,18672.83,18256.85,C2240101076,18.36,434.34,0,0,19,5,1,415.98,415.98,0,0.022276,0,Customer,0,415.98,0.56,Low,2
59,PAYMENT,56.05,C3946453006,126731.23,126675.18,M142020539,2919.15,2975.2,0,0,11,2,0,56.05,56.05,0,0.000442,0,Merchant,0,56.05,0.01,Low,1
511,CASH_OUT,129.04,C9864490834,2105.43,1976.39,M939954544,5.01,134.05,0,0,7,0,0,129.04,129.04,0,0.06126,0,Merchant,0,129.04,16.53,Low,0
682,CASH_OUT,431.46,C5543000913,7.66,0.0,M505217601,1340.47,1771.93,0,0,10,0,0,7.66,431.46,1,49.822171,1,Merchant,0,431.46,75.0,High,0
476,PAYMENT,386.69,C3087754104,16.93,0.0,M266827058,13.2,399.89,0,0,20,5,1,16.93,386.69,1,21.566648,1,Merchant,0,386.69,60.0,High,1
700,PAYMENT,5522.56,C1198976909,976.28,0.0,M703857417,37.68,5560.24,0,0,4,1,0,976.28,5522.56,1,5.65095,1,Merchant,0,5522.56,60.0,High,1
190,CASH_IN,28.93,C9560125864,13278.63,13249.7,C3995505587,34.58,63.51,0,0,22,0,0,28.93,28.93,0,0.002179,0,Customer,0,28.93,0.05,Low,2
687,CASH_OUT,43.34,C8224505999,153.92,110.58,M878455275,0.0,3501.88,0,0,15,0,0,43.34,3501.88,0,0.279757,0,Merchant,0,43.34,21.99,Low,0
563,CASH_OUT,217.1,C3473630801,679.98,462.88,M368699960,19.54,236.64,0,0,11,2,0,217.1,217.1,0,0.318805,0,Merchant,0,217.1,22.97,Low,0
567,PAYMENT,844.22,C2843021559,62615.7,61771.48,M212331604,253.79,1098.01,0,0,15,2,0,844.22,844.22,0,0.013482,0,Merchant,0,844.22,0.34,Low,1
244,PAYMENT,166.45,C3276631482,406.99,240.54,M273384533,142.03,308.48,0,0,4,3,0,166.45,166.45,0,0.407976,0,Merchant,0,166.45,10.2,Low,1
505,CASH_OUT,141.43,C8962974186,87739.22,87597.79,M410285014,212.9,354.33,0,0,1,0,0,141.43,141.43,0,0.001612,0,Merchant,0,141.43,15.04,Low,0
131,PAYMENT,4219.59,C5418656089,374.02,0.0,M982207605,2617.9,6837.49,0,0,11,5,1,374.02,4219.59,1,11.25164,1,Merchant,0,4219.59,60.0,High,1
485,PAYMENT,1036.81,C3276725591,10516.24,9479.43,M181939467,293.17,1329.98,0,0,5,6,1,1036.81,1036.81,0,0.098582,0,Merchant,0,1036.81,2.46,Low,1
647,CASH_IN,56.29,C8887986143,1328.94,1272.65,C3713484065,282.02,338.31,0,0,23,5,1,56.29,56.29,0,0.042325,0,Customer,0,56.29,1.06,Low,2
21,PAYMENT,145.56,C9708503042,7643.31,7497.75,M767186648,41.25,186.81,0,0,21,0,0,145.56,145.56,0,0.019042,0,Merchant,0,145.56,0.48,Low,1
167,CASH_OUT,1134.14,C9811222296,166308.97,165174.83,M428935873,37.29,1171.43,0,0,23,6,1,1134.14,1134.14,0,0.006819,0,Merchant,0,1134.14,15.17,Low,0
274,PAYMENT,32.39,C3555521729,3131.22,3098.83,M496071336,12.13,44.52,0,0,10,4,0,32.39,32.39,0,0.010341,0,Merchant,0,32.39,0.26,Low,1
388,CASH_IN,1120.43,C7941928160,25659.88,24539.45,C2306997429,165.96,1286.39,0,0,4,2,0,1120.43,1120.43,0,0.043663,0,Customer,0,1120.43,1.09,Low,2
601,CASH_OUT,202.84,C7707888519,117.15,0.0,M419692564,16522.69,16522.69,1,0,1,4,0,117.15,0.0,1,1.716801,1,Merchant,0,202.84,75.0,High,0
316,CASH_IN,833.49,C1960249079,106.85,0.0,C7430942159,632.38,1465.87,0,0,4,6,1,106.85,833.49,1,7.728234,1,Customer,0,833.49,60.0,High,2
14,PAYMENT,512.72,C7709779421,18.52,0.0,M506096333,465.52,978.24,0,0,14,0,0,18.52,512.72,1,26.266393,1,Merchant,0,512.72,60.0,High,1
242,CASH_IN,43.18,C1352677946,78.33,35.15,C4771563309,8.24,51.42,0,0,2,3,0,43.18,43.18,0,0.544309,0,Customer,0,43.18,13.61,Low,2
346,CASH_IN,112.93,C9298133598,48686.97,48574.04,C7585056617,6546.58,6659.51,0,0,10,0,0,112.93,112.93,0,0.002319,0,Customer,0,112.93,0.06,Low,2
565,CASH_OUT,7293.96,C8302452567,2511.55,0.0,M498262230,22115.44,29409.4,0,0,13,2,0,2511.55,7293.96,1,2.903011,1,Merchant,0,7293.96,75.0,High,0
340,CASH_IN,46288.26,C5219965940,562.0,0.0,C2120446807,49.81,46338.07,0,0,4,0,0,562.0,46288.26,1,82.217158,1,Customer,0,46288.26,60.0,High,2
92,CASH_OUT,12.25,C1059344318,1827.1,1814.85,M434368059,35.14,47.39,0,0,20,3,0,12.25,12.25,0,0.006701,0,Merchant,0,12.25,15.17,Low,0
367,CASH_IN,3249.47,C9922408873,6005.86,2756.39,C2219127383,14708.21,17957.68,0,0,7,1,0,3249.47,3249.47,0,0.54096,0,Customer,0,3249.47,13.52,Low,2
455,PAYMENT,728.68,C1945742075,7679.16,6950.48,M216372254,1062.32,1791.0,0,0,23,4,0,728.68,728.68,0,0.094878,0,Merchant,0,728.68,2.37,Low,1
428,PAYMENT,25966.6,C1413458806,1893.99,0.0,M869871763,29647.98,55614.58,0,0,20,3,0,1893.99,25966.6,1,13.702764,1,Merchant,0,25966.6,60.0,High,1
509,CASH_IN,132.02,C3090587254,34779.85,34647.83,C8141905087,7678.66,7810.68,0,0,5,0,0,132.02,132.02,0,0.003796,0,Customer,0,132.02,0.09,Low,2
35,CASH_IN,2432.24,C1381771473,96.84,0.0,C1525283199,3.3,2435.54,0,0,11,1,0,96.84,2432.24,1,24.859362,1,Customer,0,2432.24,60.0,High,2
206,CASH_OUT,220.24,C7514909893,456.38,236.14,M600900075,21528.12,21748.36,0,0,14,1,0,220.24,220.24,0,0.481525,0,Merchant,0,220.24,27.04,Medium,0
81,PAYMENT,5233.35,C1558642972,20448.34,15214.99,M498236682,559.02,5792.37,0,0,9,3,0,5233.35,5233.35,0,0.255918,0,Merchant,0,5233.35,6.4,Low,1
562,PAYMENT,41051.22,C1426689756,11978.79,0.0,M979244943,427.25,41478.47,0,0,10,2,0,11978.79,41051.22,1,3.426706,1,Merchant,0,41051.22,60.0,High,1
388,PAYMENT,617.78,C6626491117,2771.3,2153.52,M173991587,437.79,1055.57,0,0,4,2,0,617.78,617.78,0,0.22284,0,Merchant,0,617.78,5.57,Low,1
2,CASH_IN,41.35,C4755594491,282.23,240.88,C4426561370,331.82,373.17,0,0,2,0,0,41.35,41.35,0,0.145994,0,Customer,0,41.35,3.65,Low,2
390,PAYMENT,6820.89,C5119517037,7855.1,1034.21,M679175323,9.02,6829.91,0,0,6,2,0,6820.89,6820.89,0,0.868229,0,Merchant,0,6820.89,21.71,Low,1
566,CASH_OUT,1250.08,C2976523594,112.97,0.0,M797740895,12872.58,14122.66,0,0,14,2,0,112.97,1250.08,1,10.9685,1,Merchant,0,1250.08,75.0,High,0
106,CASH_IN,859.25,C6636892981,21058.07,20198.82,C4407621319,0.0,960.34,0,0,10,4,0,859.25,960.34,0,0.040802,0,Customer,0,859.25,1.02,Low,2
477,CASH_OUT,9570.85,C9629033419,49232.4,39661.55,M922856631,185.12,9755.97,0,0,21,5,1,9570.85,9570.85,0,0.194398,0,Merchant,0,9570.85,19.86,Low,0
703,PAYMENT,41.46,C4522339678,259.75,218.29,M689204144,1709.48,1750.94,0,0,7,1,0,41.46,41.46,0,0.159003,0,Merchant,0,41.46,3.98,Low,1
402,CASH_OUT,96.32,C1726753749,708441.86,708345.54,M962894900,32021.35,32117.67,0,0,18,2,0,96.32,96.32,0,0.000136,0,Merchant,0,96.32,15.0,Low,0
730,CASH_OUT,1324.16,C8378377706,90.62,0.0,M327961194,327.28,1651.44,0,0,10,2,0,90.62,1324.16,1,14.45274,1,Merchant,0,1324.16,75.0,High,0
556,CASH_OUT,92.12,C1476699109,683.64,591.52,M418376259,664.78,756.9,0,0,4,2,0,92.12,92.12,0,0.134552,0,Merchant,0,92.12,18.36,Low,0
162,PAYMENT,214.43,C1291619785,642.84,428.41,M695948979,13403.0,13617.43,0,0,18,6,1,214.43,214.43,0,0.333049,0,Merchant,0,214.43,8.33,Low,1
202,CASH_IN,5164.35,C8515630381,845.95,0.0,C3369219787,1661.65,6826.0,0,0,10,1,0,845.95,5164.35,1,6.097585,1,Customer,0,5164.35,60.0,High,2
270,CASH_OUT,959.02,C7861297934,38641.2,37682.18,M874886047,1303.36,2262.38,0,0,6,4,0,959.02,959.02,0,0.024818,0,Merchant,0,959.02,15.62,Low,0
271,CASH_OUT,38.18,C8368131222,3275.83,3237.65,M862390714,0.29,38.47,0,0,7,4,0,38.18,38.18,0,0.011652,0,Merchant,0,38.18,15.29,Low,0
456,CASH_IN,912.39,C6994382572,137.21,0.0,C9153485545,191.66,1104.05,0,0,0,5,1,137.21,912.39,1,6.601476,1,Customer,0,912.39,60.0,High,2
462,CASH_OUT,4808.53,C9155284860,1440.27,0.0,M421176582,614.83,5423.36,0,0,6,5,1,1440.27,4808.53,1,3.336315,1,Merchant,0,4808.53,75.0,High,0
727,CASH_IN,568.54,C5044934604,5756.2,5187.66,C8286952146,599.21,1167.75,0,0,7,2,0,568.54,568.54,0,0.098753,0,Customer,0,568.54,2.47,Low,2
252,CASH_OUT,2306.76,C1840590616,4032.16,1725.4,M150330257,3984.95,6291.71,0,0,12,3,0,2306.76,2306.76,0,0.571949,0,Merchant,0,2306.76,29.3,Medium,0
702,CASH_IN,143.45,C9208708139,23282.45,23139.0,C8669368662,18.95,162.4,0,0,6,1,0,143.45,143.45,0,0.006161,0,Customer,0,143.45,0.15,Low,2
296,CASH_OUT,678.41,C4060939483,1371.24,692.83,M995048657,31.25,709.66,0,0,8,5,1,678.41,678.41,0,0.494381,0,Merchant,0,678.41,27.36,Medium,0
725,CASH_IN,17.23,C4814523957,8094.91,8077.68,C2146657717,4585.22,4602.45,0,0,5,2,0,17.23,17.23,0,0.002128,0,Customer,0,17.23,0.05,Low,2
720,CASH_IN,1421.5,C8520924748,768.26,0.0,C1556634049,6146.45,7567.95,0,0,0,2,0,768.26,1421.5,1,1.84788,1,Customer,0,1421.5,60.0,High,2
338,PAYMENT,829.03,C4686954819,217.7,0.0,M571643713,30.41,859.44,0,0,2,0,0,217.7,829.03,1,3.790718,1,Merchant,0,829.03,60.0,High,1
53,CASH_OUT,30.55,C8733545195,63.22,32.67,M342491025,790.66,821.21,0,0,5,2,0,30.55,30.55,0,0.475709,0,Merchant,0,30.55,26.89,Medium,0
217,CASH_IN,8448.62,C6615698208,55062.02,46613.4,C9442175720,219.2,8667.82,0,0,1,2,0,8448.62,8448.62,0,0.153435,0,Customer,0,8448.62,3.84,Low,2
188,PAYMENT,1264.29,C8085584774,25.23,0.0,M306811593,80.59,1344.88,0,0,20,0,0,25.23,1264.29,1,48.200152,1,Merchant,0,1264.29,60.0,High,1
380,CASH_OUT,100.95,C2389277939,2069.61,1968.66,M312435044,20.11,121.06,0,0,20,1,0,100.95,100.95,0,0.048754,0,Merchant,0,100.95,16.22,Low,0
493,CASH_OUT,1498.55,C1182883464,3053.7,1555.15,M719716511,42.86,1541.41,0,0,13,6,1,1498.55,1498.55,0,0.490572,0,Merchant,0,1498.55,27.26,Medium,0
41,CASH_IN,56.32,C5243841773,94.47,38.15,C2421743255,51.73,108.05,0,0,17,1,0,56.32,56.32,0,0.589924,0,Customer,0,56.32,14.75,Low,2
157,CASH_OUT,74.27,C6272245311,10429.32,10355.05,M692442324,19520.97,19595.24,0,0,13,6,1,74.27,74.27,0,0.007121,0,Merchant,0,74.27,15.18,Low,0
15,PAYMENT,56.91,C7002390685,37.48,0.0,M446779116,1391.74,1448.65,0,0,15,0,0,37.48,56.91,1,1.47895,1,Merchant,0,56.91,60.0,High,1
65,PAYMENT,53.72,C9381049874,257.44,203.72,M858339366,820.88,874.6,0,0,17,2,0,53.72,53.72,0,0.207863,0,Merchant,0,53.72,5.2,Low,1
521,CASH_IN,967.99,C3081631744,12230.96,11262.97,C9084263678,24.53,992.52,0,0,17,0,0,967.99,967.99,0,0.079136,0,Customer,0,967.99,1.98,Low,2
344,TRANSFER,487.38,C4412779767,42.44,0.0,C7707342118,11068.7,11556.08,0,0,8,0,0,42.44,487.38,1,11.219613,1,Customer,0,487.38,75.0,High,3
129,DEBIT,1801.62,C6973919693,8454.46,6652.84,M669493317,14874.8,16676.42,0,0,9,5,1,1801.62,1801.62,0,0.213072,0,Merchant,0,1801.62,5.33,Low,4
648,CASH_OUT,1.43,C9786327359,17844.64,17843.21,M258635304,744.85,746.28,0,0,0,6,1,1.43,1.43,0,8e-05,0,Merchant,0,1.43,15.0,Low,0
472,CASH_IN,184.37,C7175575410,16039.5,15855.13,C5835513017,562.25,746.62,0,0,16,5,1,184.37,184.37,0,0.011494,0,Customer,0,184.37,0.29,Low,2
63,CASH_OUT,189.65,C6536786113,2795.99,2606.34,M651563125,565.98,755.63,0,0,15,2,0,189.65,189.65,0,0.067805,0,Merchant,0,189.65,16.7,Low,0
139,PAYMENT,448.21,C9758212856,134.78,0.0,M431942528,2568.32,3016.53,0,0,19,5,1,134.78,448.21,1,3.301002,1,Merchant,0,448.21,60.0,High,1
499,PAYMENT,425.62,C6177680892,92.24,0.0,M766064535,10.46,436.08,0,0,19,6,1,92.24,425.62,1,4.564779,1,Merchant,0,425.62,60.0,High,1
593,CASH_OUT,636.62,C6105814463,311.55,0.0,M791759278,28.17,664.79,0,0,17,3,0,311.55,636.62,1,2.036858,1,Merchant,0,636.62,75.0,High,0
392,TRANSFER,481.85,C1709776766,0.51,0.0,C2642867262,54.59,536.44,0,0,8,2,0,0.51,481.85,1,319.10596,1,Customer,0,481.85,75.0,High,3
675,CASH_OUT,161.16,C9774747748,1162.16,1001.0,M279168145,124.62,285.78,0,0,3,0,0,161.16,161.16,0,0.138554,0,Merchant,0,161.16,18.46,Low,0
419,PAYMENT,181.44,C3012578153,822.37,640.93,M932372115,865.52,1046.96,0,0,11,3,0,181.44,181.44,0,0.220363,0,Merchant,0,181.44,5.51,Low,1
289,CASH_IN,362.99,C4336043174,1325.72,962.73,C6672190065,5137.32,5500.31,0,0,1,5,1,362.99,362.99,0,0.2736,0,Customer,0,362.99,6.84,Low,2
379,CASH_IN,1106.86,C4999388986,601.52,0.0,C9566191204,4131.87,5238.73,0,0,19,1,0,601.52,1106.86,1,1.837051,1,Customer,0,1106.86,60.0,High,2
490,CASH_OUT,478.28,C7035462417,1705.71,1227.43,M291353178,7.93,486.21,0,0,10,6,1,478.28,478.28,0,0.280235,0,Merchant,0,478.28,22.01,Low,0
231,PAYMENT,83.9,C1540690999,1336.98,1253.08,M470216358,45611.11,45695.01,0,0,15,2,0,83.9,83.9,0,0.062706,0,Merchant,0,83.9,1.57,Low,1
41,CASH_IN,75.47,C5455784433,28.5,0.0,C2895493645,101413.6,101489.07,0,0,17,1,0,28.5,75.47,1,2.558305,1,Customer,0,75.47,60.0,High,2
28,CASH_OUT,1118.55,C1279288732,2208.1,1089.55,M130000226,24491.33,25609.88,0,0,4,1,0,1118.55,1118.55,0,0.506337,0,Merchant,0,1118.55,27.66,Medium,0
135,PAYMENT,1834.97,C2960005794,1040.31,0.0,M824291839,71.94,0.0,0,0,15,5,1,1040.31,-71.94,1,1.762175,1,Merchant,0,1834.97,60.0,High,1
201,CASH_OUT,3435.88,C8620350191,14.66,0.0,M515785695,117.77,3553.65,0,0,9,1,0,14.66,3435.88,1,219.404853,1,Merchant,0,3435.88,75.0,High,0
33,PAYMENT,151.13,C8469803207,10270.84,10119.71,M145748652,7.86,158.99,0,0,9,1,0,151.13,151.13,0,0.014713,0,Merchant,0,151.13,0.37,Low,1
48,CASH_IN,9.44,C7030099102,520.23,510.79,C3580534816,825.57,835.01,0,0,0,2,0,9.44,9.44,0,0.018111,0,Customer,0,9.44,0.45,Low,2
503,PAYMENT,865.48,C2053467689,5372.65,4507.17,M557060108,796.62,1662.1,0,0,23,6,1,865.48,865.48,0,0.16106,0,Merchant,0,865.48,4.03,Low,1
407,PAYMENT,96.42,C9574925483,981.69,885.27,M635191879,162.4,258.82,0,0,23,2,0,96.42,96.42,0,0.098118,0,Merchant,0,96.42,2.45,Low,1
574,PAYMENT,328.08,C5197371920,12.8,0.0,M501442405,41.11,369.19,0,0,22,2,0,12.8,328.08,1,23.773913,1,Merchant,0,328.08,60.0,High,1
728,PAYMENT,542.65,C9922597621,2051.44,1508.79,M792568493,703.43,1246.08,0,0,8,2,0,542.65,542.65,0,0.264393,0,Merchant,0,542.65,6.61,Low,1
99,CASH_OUT,1220.85,C8248489156,3793.4,2572.55,M213053896,264.31,1485.16,0,0,3,4,0,1220.85,1220.85,0,0.32175,0,Merchant,0,1220.85,23.04,Low,0
684,CASH_OUT,2407.63,C3285430365,20462.76,18055.13,M624444601,1068.16,3475.79,0,0,12,0,0,2407.63,2407.63,0,0.117653,0,Merchant,0,2407.63,17.94,Low,0
726,PAYMENT,4185.03,C5250703772,10909.15,6724.12,M382433643,20015.3,24200.33,0,0,6,2,0,4185.03,4185.03,0,0.383591,0,Merchant,0,4185.03,9.59,Low,1
547,PAYMENT,5645.63,C8529001351,21933.97,16288.34,M478343835,2149.72,7795.35,0,0,19,1,0,5645.63,5645.63,0,0.25738,0,Merchant,0,5645.63,6.43,Low,1
739,PAYMENT,496.75,C7430548122,6910.97,6414.22,M924324224,739.75,1236.5,0,0,19,2,0,496.75,496.75,0,0.071868,0,Merchant,0,496.75,1.8,Low,1
613,CASH_OUT,13.77,C5901318534,320.82,307.05,M433494414,661.84,675.61,0,0,13,4,0,13.77,13.77,0,0.042788,0,Merchant,0,13.77,16.07,Low,0
462,PAYMENT,119.21,C5786503709,340.33,221.12,M503983238,30.12,149.33,0,0,6,5,1,119.21,119.21,0,0.349251,0,Merchant,0,119.21,8.73,Low,1
643,CASH_OUT,6742.95,C4887642885,12995.32,6252.37,M519073483,354.41,7097.36,0,0,19,5,1,6742.95,6742.95,0,0.518835,0,Merchant,0,6742.95,27.97,Medium,0
5,TRANSFER,543.22,C2306684261,415.3,0.0,C3634027124,878.48,1421.7,0,0,5,0,0,415.3,543.22,1,1.304876,1,Customer,0,543.22,75.0,High,3
218,PAYMENT,31468.72,C8333889270,4124.05,0.0,M887024951,4047.49,35516.21,0,0,2,2,0,4124.05,31468.72,1,7.628688,1,Merchant,0,31468.72,60.0,High,1
503,CASH_OUT,189.05,C3255783702,78696.22,78507.17,M774536351,2156.81,2345.86,0,0,23,6,1,189.05,189.05,0,0.002402,0,Merchant,0,189.05,15.06,Low,0
398,CASH_OUT,41180.74,C1461590842,233.97,0.0,M694335465,211.38,41392.12,0,0,14,2,0,233.97,41180.74,1,175.259565,1,Merchant,0,41180.74,75.0,High,0
393,TRANSFER,402.21,C2625772575,6773.37,6371.16,C4080521588,12523.96,12926.17,0,0,9,2,0,402.21,402.21,0,0.059372,0,Customer,0,402.21,16.48,Low,3
207,CASH_OUT,174.25,C2454033328,147.29,0.0,M723245336,3.09,177.34,0,0,15,1,0,147.29,174.25,1,1.175062,1,Merchant,0,174.25,75.0,High,0
15,CASH_IN,97.19,C8953143019,4750.51,4653.32,C2625643100,1671.2,1768.39,0,0,15,0,0,97.19,97.19,0,0.020455,0,Customer,0,97.19,0.51,Low,2
554,CASH_OUT,1509.76,C1121732242,61959.28,60449.52,M595302813,37.05,1546.81,0,0,2,2,0,1509.76,1509.76,0,0.024367,0,Merchant,0,1509.76,15.61,Low,0
461,TRANSFER,23.9,C4360975118,31160.5,31136.6,C9611483142,18575.82,18599.72,0,0,5,5,1,23.9,23.9,0,0.000767,0,Customer,0,23.9,15.02,Low,3
691,CASH_IN,134.36,C2120818740,418.74,284.38,C1627370630,4803.28,4937.64,0,0,19,0,0,134.36,134.36,0,0.320103,0,Customer,0,134.36,8.0,Low,2
575,PAYMENT,363.16,C9961056442,56068.68,55705.52,M816224098,10.21,373.37,0,0,23,2,0,363.16,363.16,0,0.006477,0,Merchant,0,363.16,0.16,Low,1
743,CASH_OUT,4.41,C6444005474,625.23,620.82,M257909701,32.78,37.19,0,0,23,2,0,4.41,4.41,0,0.007042,0,Merchant,0,4.41,15.18,Low,0
241,CASH_OUT,332.0,C9819031477,334766.15,334434.15,M361285397,5.3,337.3,0,0,1,3,0,332.0,332.0,0,0.000992,0,Merchant,0,332.0,15.02,Low,0
564,PAYMENT,12594.22,C2503729803,1189.22,0.0,M679830586,2684.52,15278.74,0,0,12,2,0,1189.22,12594.22,1,10.581422,1,Merchant,0,12594.22,60.0,High,1
96,PAYMENT,957.1,C8074550226,5750.69,4793.59,M837864077,1250.26,2207.36,0,0,0,4,0,957.1,957.1,0,0.166403,0,Merchant,0,957.1,4.16,Low,1
734,CASH_OUT,108.19,C1388674359,5329.92,5221.73,M854744852,3901.43,4009.62,0,0,14,2,0,108.19,108.19,0,0.020295,0,Merchant,0,108.19,15.51,Low,0
485,CASH_OUT,155.13,C5458470146,71.18,0.0,M192845585,0.51,155.64,0,0,5,6,1,71.18,155.13,1,2.14921,1,Merchant,0,155.13,75.0,High,0
407,PAYMENT,791.79,C4332427871,34223.42,33431.63,M911684911,51.92,843.71,0,0,23,2,0,791.79,791.79,0,0.023135,0,Merchant,0,791.79,0.58,Low,1
